# X_params, Y_params
2.042544150038960197e+03,-3.790865825497982655e+02
-6.894327201210749267e-01,7.902667283619652094e-01
9.483128074115448327e-04,4.382198488722006675e-04
-8.522037991398612178e-07,-3.501406600214806986e-07
-8.070225658148691750e+00,1.300717322519439945e+00
1.179919029601163467e-02,-9.770638777890723516e-04
-5.887808642301983753e-06,5.991331564203505877e-08
1.441195484809823730e-03,-2.226433264995109074e-03
-1.445481037698481686e-06,1.521511329094504816e-06
3.022805542540751844e-07,1.462614623859437302e-08
